t,Qf,unk
9,9.78E-02,4.786
19,1.290601,14.218
29,1.262779,13.998
39,1.240016,13.818
49,1.215736,13.626
59,1.187156,13.4
69,1.160599,13.19
79,0.5545961,8.398001
89,1.109508,12.786
99,1.361925,14.782
109,1.332333,14.548
119,1.294648,14.25
129,1.271885,14.07
139,1.244569,13.854
149,1.220794,13.666
159,1.197778,13.484
169,1.170463,13.268
179,1.150988,13.114
189,1.128983,12.94
199,1.105968,12.758
209,1.092563,12.652
219,1.360155,14.768
229,1.344473,14.644
239,1.329045,14.522
249,1.305524,14.336
259,1.275426,14.098
269,1.259239,13.97
279,1.244063,13.85
289,1.219783,13.658
299,1.191961,13.438
309,1.173751,13.294
319,1.158322,13.172
329,0.3163429,6.514
339,0.5495375,8.358001
349,1.224841,13.698
359,0.3228684,6.5656
369,9.48E-04,4.02
379,4.68E-04,4.016201
389,5.44E-04,4.0168
399,4.93E-04,4.0164
409,3.67E-04,4.0154
419,0.270134,6.148601
429,1.185891,13.39
439,0.9299334,11.366
449,0.5259147,8.171202
459,8.98E-04,4.0196
469,8.73E-04,4.0194
479,7.97E-04,4.0188
489,4.93E-04,4.0164
499,4.68E-04,4.0162
509,3.67E-04,4.0154
519,0.2330809,5.8556
529,0.7784327,10.168
539,7.52E-03,4.072
549,7.52E-03,4.072
559,5.75E-03,4.058
569,8.03E-03,4.076001
579,0.5019882,7.982001
589,-3.10E-03,3.988
599,9.49E-04,4.02
609,-6.33E-05,4.012
619,-1.33E-03,4.002
629,-4.62E-03,3.976
639,-6.32E-05,4.012
649,-2.09E-03,3.996
659,0.1752122,5.398
669,0.3024322,6.404
679,5.00E-03,4.052001
689,3.98E-03,4.044001
699,0.5114223,8.056601
709,3.42E-04,4.0152
719,3.16E-04,4.015
729,1.14E-04,4.0134
739,6.33E-05,4.013
749,3.42E-04,4.0152
759,0.1059619,4.8504
769,6.70E-04,4.0178
779,6.81E-02,4.551
789,8.73E-04,4.0194
799,9.74E-04,4.0202
809,8.73E-04,4.0194
819,7.97E-04,4.0188
829,7.21E-04,4.0182
839,5.69E-04,4.017
849,4.68E-04,4.0162
859,5.19E-04,4.0166
869,4.43E-04,4.016